Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC

"18650 Li-Ion Battery","Lithium 18650 battery cell","B1","18650 SMD holder","18650 Li-Ion Battery","1",""
"CL21A475KAQNNNE","CL21 Series 0805 4.7uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor","C1, C2","FP-CL21-IPC_A","CMP-13271-002624-1","2","C1779"
"CL10A105KB8NNNC","CAP CER 1UF 50V X5R 0603","C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C16, C18, C26, C27, C28, C30","FP-CL10B105KO8NNNC-IPC_B","CMP-2000-06093-2","17","C15849"
"CL31A226KPHNNNE","Cap Ceramic 22uF 10V X5R ±10% SMD 1206","C14, C15, C17, C19, C29","FP-CL31-IPC_B","CMP-13271-002604-1","5","C5672"
"XKB U262-161N-4BVC11","USB Type-C connector, USB-2.0, 16 pins","CN1","XKB U262-161N-4BVC11","XKB U262-161N-4BVC11","1","C319148"
"MBR0530","DIODE SCHOTTKY 30V 500MA SOD123","D1, D2, D3, D8, D9, D10","FP-425-04-IPC_B","CMP-2000-05113-2","6","C77336"
"LXES15AAA1-133","TVS DIODE 15V 1005","D4, D5, D6, D7","FP-LXES15-IPC_A","CMP-06195-000011-1","4","C191267"
"XFCN F0501-T-24-20T-R","XFCN F0501-T-24-20T-R 0.5mm fpc top contacts, slide retentioner","J1","XFCN F0501-T-24-20T-R","XFCN F0501-T-24-20T-R","1","C840496"
"SolderJumper","","J2, J4, J5, J6, J7","SolderJumper_1mm","SolderJumper","5",""
"DEBUG","","J3","muselab cmsis-dap frictionfit","MuseLab CMSIS-DAP probe receiving connector","1",""
"2060-452/998-404","Terminal Block, Pitch 4 mm, 1 x 2 Position, Height 4.5 mm, -60 to 105 degC, RoHS, Tape and Reel","J8","WAGO-2060-452_V","CMP-2000-05527-1","1",""
"CMI322513J680MT","CMI322513J680MT 1210 chip SMD inductor 68uH","L1","FP-DFE322512C-IPC_B","CMP-06042-000782-1","1","C401470"
"Everlight Elec 23-21B/T1D-CP2Q2TY/2A","reverse mount SMD led, cool white","LED1, LED2, LED3, LED4, LED5, LED6","Everlight Elec 23-21B/T1D-CP2Q2TY/2A","Everlight Elec 23-21B/T1D-CP2Q2TY/2A","6","C414638"
"BM3402","BORN BM3402 MOSFET N-CH 30V 5.1A SOT23","Q1, Q3","FP-SOT23-IPC_B","CMP-83955-000006-1","2","C431498"
"AO3401A","P-Channel MOSFET, 30 V, 4 A, -55 to 150 degC, 3-Pin SOT-23-3L, RoHS, Tape and Reel","Q2","AO-SOT-23-3L_V","CMP-2000-05778-1","1","C15127"
"0603WAF5101T5E","","R1, R2, R10, R12, R34, R35, R36, R37, R38, R39","RESC1608X55X30NL15T15","CMP-2000-00540-1","10","C23186"
"0603WAF220KT5E","","R3","RESC1608X55X30ML15T15","CMP-2000-00787-1","1","C22939"
"0603WAF1004T5E","","R4, R11, R14, R15, R20, R22, R24, R26, R28, R30, R32","RESC1608X55X30NL15T15","CMP-1012-00849-2","11","C22935"
"0603WAF1501T5E","","R5, R8, R9, R17, R18, R19, R21, R40","RESC1608X55X30NL15T15","CMP-2000-00540-1","8","C22843"
"0603WAF2203T5E","","R6","RESC1608X55X30NL15T15","CMP-2000-00540-1","1","C22961"
"0603WAF7502T5E","","R7","RESC1608X55X30NL15T15","CMP-2000-00540-1","1","C23242"
"0603WAF100JT5E","","R23, R25, R27, R29, R31, R33","RESC1608X55X30NL15T15","CMP-2000-00540-1","6","C22859"
"Alps SKRB","SKRB series SMD tactile button Alps Alpine","SW1, SW2, SW3, SW4, SW5, SW6","Alps SKRB","Alps SKRB","6","C139790"
"TS-1187A-B-A-B","XKB TS-1187A-B-A-B C318884","SW7, SW8","ESWI-TL3342F160QG_V","CMP-1696-00003-1","2","C318884"
"test point 1.5mm","Test point ,1.5mm diameter, no hole","TP1, TP2, TP3, TP4, TP5, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19","TP1_FULL","Test Point","17",""
"TP4056","1s Lithium linear battery charger, 1A output","U2","Generic SOP8-PP","TP4056","1","C16581"
"ESP32-S2-MINI-1","WiFi 802.11b/g/n Transceiver Module 2.412GHz ~ 2.484GHz Antenna Not Included Surface Mount","U3","XCVR_ESP32-S2-MINI-1","ESP32-S2-MINI-1","1","C2847294"
"SHTC3","SENSOR HUMI/TEMP I2C 2% SMD","U7","FP-SHTC3-MFG","CMP-144040-000003-1","1","C2880044"
"AP7365","Diodes Inc AP7365 LDO, fast transient, 600mA","U8","Diodes Inc SOT25","AP7365","1",""
"XB8608AF","XYSEMI 1s Li-Ion integrated protection IC","U9","generic sop8","XB8608AF","1","C2681922"
