Altium Designer Pick and Place Locations
C:\Users\matej\Documents\Projects\HomeButtons\Hardware\Altium\Project Outputs for HomeButtons_Altium\Pick Place\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       19/11/22
Time:       15:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","LCSC"
"B1","18650 Li-Ion Battery","TopLayer","18650_SMD_holder","0.0000","-2.2173","315","Lithium 18650 battery cell",""
"C1","CL21A475KAQNNNE","TopLayer","FP-CL21-IPC_A","-3.9500","-14.0250","315","CL21 Series 0805 4.7uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor","C1779"
"C2","CL21A475KAQNNNE","TopLayer","FP-CL21-IPC_A","1.7000","-20.6000","270","CL21 Series 0805 4.7uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor","C1779"
"C3","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","16.1500","4.1250","0","CAP CER 1UF 50V X5R 0603","C15849"
"C4","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","9.2250","-27.5000","0","CAP CER 1UF 50V X5R 0603","C15849"
"C5","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","7.4000","-25.6000","0","CAP CER 1UF 50V X5R 0603","C15849"
"C6","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-2.6000","-24.3000","90","CAP CER 1UF 50V X5R 0603","C15849"
"C7","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-4.6000","-24.3000","90","CAP CER 1UF 50V X5R 0603","C15849"
"C8","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-6.6000","-21.4500","90","CAP CER 1UF 50V X5R 0603","C15849"
"C9","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-6.6000","-24.3000","90","CAP CER 1UF 50V X5R 0603","C15849"
"C10","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-8.8500","-19.2000","0","CAP CER 1UF 50V X5R 0603","C15849"
"C11","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-8.6000","-24.3000","90","CAP CER 1UF 50V X5R 0603","C15849"
"C12","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-7.9500","-10.5000","45","CAP CER 1UF 50V X5R 0603","C15849"
"C13","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-10.6000","-24.3000","90","CAP CER 1UF 50V X5R 0603","C15849"
"C14","CL31A226KPHNNNE","TopLayer","FP-CL31-IPC_B","20.8236","-39.1000","180","Cap Ceramic 22uF 10V X5R ±10% SMD 1206","C5672"
"C15","CL31A226KPHNNNE","TopLayer","FP-CL31-IPC_B","32.8250","-39.0750","0","Cap Ceramic 22uF 10V X5R ±10% SMD 1206","C5672"
"C16","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-17.9141","0.5141","315","CAP CER 1UF 50V X5R 0603","C15849"
"C17","CL31A226KPHNNNE","TopLayer","FP-CL31-IPC_B","-33.1000","-14.0000","135","Cap Ceramic 22uF 10V X5R ±10% SMD 1206","C5672"
"C18","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-31.4000","-12.7000","135","CAP CER 1UF 50V X5R 0603","C15849"
"C19","CL31A226KPHNNNE","TopLayer","FP-CL31-IPC_B","11.2000","7.7500","270","Cap Ceramic 22uF 10V X5R ±10% SMD 1206","C5672"
"C26","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","5.3359","12.7859","45","CAP CER 1UF 50V X5R 0603","C15849"
"C27","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-30.5000","-38.9250","270","CAP CER 1UF 50V X5R 0603","C15849"
"C28","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","16.3230","10.2750","0","CAP CER 1UF 50V X5R 0603","C15849"
"C29","CL31A226KPHNNNE","TopLayer","FP-CL31-IPC_B","13.4500","8.7750","270","Cap Ceramic 22uF 10V X5R ±10% SMD 1206","C5672"
"C30","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-14.6141","30.0141","135","CAP CER 1UF 50V X5R 0603","C15849"
"CN1","XKB U262-161N-4BVC11","TopLayer","XKB_U262-161N-4BVC11","-23.5000","-36.7500","0","USB Type-C connector, USB-2.0, 16 pins","C319148"
"D1","MBR0530","TopLayer","FP-425-04-IPC_B","-7.1000","-12.4250","225","DIODE SCHOTTKY 30V 500MA SOD123","C77336"
"D2","MBR0530","TopLayer","FP-425-04-IPC_B","-6.9750","-15.3250","0","DIODE SCHOTTKY 30V 500MA SOD123","C77336"
"D3","MBR0530","TopLayer","FP-425-04-IPC_B","-6.5000","-17.2250","0","DIODE SCHOTTKY 30V 500MA SOD123","C77336"
"D4","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","-24.4250","-30.6500","0","TVS DIODE 15V 1005","C191267"
"D5","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","-22.4500","-30.6500","180","TVS DIODE 15V 1005","C191267"
"D6","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","-17.5000","-32.3000","225","TVS DIODE 15V 1005","C191267"
"D7","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","-19.0811","34.8189","45","TVS DIODE 15V 1005","C191267"
"J1","XFCN F0501-T-24-20T-R","TopLayer","XFCN_F0501-T-24-20T-R","-0.6000","-29.7944","0","XFCN F0501-T-24-20T-R 0.5mm fpc top contacts, slide retentioner","C840496"
"J2","SolderJumper","TopLayer","SolderJumper_1mm","-31.1750","-17.2500","270","",""
"J3","DEBUG","TopLayer","muselab_cmsis-dap_frictionfit","1.7980","26.1730","225","",""
"J4","SolderJumper","TopLayer","SolderJumper_1mm","13.7250","12.1000","180","",""
"J5","SolderJumper","TopLayer","SolderJumper_1mm","32.7316","-26.6816","315","",""
"J6","SolderJumper","TopLayer","SolderJumper_1mm","9.5566","18.4816","45","",""
"J7","SolderJumper","TopLayer","SolderJumper_1mm","-3.6816","20.0434","45","",""
"L1","CMI322513J680MT","TopLayer","FP-DFE322512C-IPC_B","-1.8750","-17.8500","180","CMI322513J680MT 1210 chip SMD inductor 68uH","C401470"
"LED1","Everlight Elec 23-21B/T1D-CP2Q2TY/2A","TopLayer","Everlight_Elec_23-21B/T1D-CP2Q2TY/2A","35.0000","26.5500","90","reverse mount SMD led, cool white","C414638"
"LED2","Everlight Elec 23-21B/T1D-CP2Q2TY/2A","TopLayer","Everlight_Elec_23-21B/T1D-CP2Q2TY/2A","35.0000","4.2500","90","reverse mount SMD led, cool white","C414638"
"LED3","Everlight Elec 23-21B/T1D-CP2Q2TY/2A","TopLayer","Everlight_Elec_23-21B/T1D-CP2Q2TY/2A","35.0000","-18.0500","90","reverse mount SMD led, cool white","C414638"
"LED4","Everlight Elec 23-21B/T1D-CP2Q2TY/2A","TopLayer","Everlight_Elec_23-21B/T1D-CP2Q2TY/2A","-35.0000","-18.0500","90","reverse mount SMD led, cool white","C414638"
"LED5","Everlight Elec 23-21B/T1D-CP2Q2TY/2A","TopLayer","Everlight_Elec_23-21B/T1D-CP2Q2TY/2A","-35.0000","4.2500","90","reverse mount SMD led, cool white","C414638"
"LED6","Everlight Elec 23-21B/T1D-CP2Q2TY/2A","TopLayer","Everlight_Elec_23-21B/T1D-CP2Q2TY/2A","-35.0000","26.5500","90","reverse mount SMD led, cool white","C414638"
"Q1","BM3402","TopLayer","FP-SOT23-IPC_B","-15.9891","34.0109","225","BORN BM3402 MOSFET N-CH 30V 5.1A SOT23","C431498"
"Q3","BM3402","TopLayer","FP-SOT23-IPC_B","-1.8500","-21.1000","0","BORN BM3402 MOSFET N-CH 30V 5.1A SOT23","C431498"
"R1","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","-19.4500","-30.9500","180","","C23186"
"R2","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","-27.6500","-30.9500","0","","C23186"
"R3","0603WAF220KT5E","TopLayer","RESC1608X55X30ML15T15","-4.6000","-21.4500","90","","C22939"
"R4","0603WAF1004T5E","TopLayer","RESC1608X55X30NL15T15","2.9500","-26.3750","225","","C22935"
"R5","0603WAF1501T5E","TopLayer","RESC1608X55X30NL15T15","22.3750","-36.2250","270","","C22843"
"R6","0603WAF2203T5E","TopLayer","RESC1608X55X30NL15T15","16.5500","12.1250","180","","C22961"
"R7","0603WAF7502T5E","TopLayer","RESC1608X55X30NL15T15","18.7750","10.1000","270","","C23242"
"R8","0603WAF1501T5E","TopLayer","RESC1608X55X30NL15T15","20.1000","11.2500","270","","C22843"
"R9","0603WAF1501T5E","TopLayer","RESC1608X55X30NL15T15","-10.7000","26.8750","225","","C22843"
"R14","0603WAF1004T5E","TopLayer","RESC1608X55X30NL15T15","6.4977","11.5727","225","","C22935"
"R15","0603WAF1004T5E","TopLayer","RESC1608X55X30NL15T15","7.4000","10.6250","45","","C22935"
"R17","0603WAF1501T5E","TopLayer","RESC1608X55X30NL15T15","-28.6000","-24.7750","90","","C22843"
"R18","0603WAF1501T5E","TopLayer","RESC1608X55X30NL15T15","-30.2000","-24.6000","90","","C22843"
"R19","0603WAF1501T5E","TopLayer","RESC1608X55X30NL15T15","-5.6000","-19.2000","0","","C22843"
"R20","0603WAF1004T5E","TopLayer","RESC1608X55X30NL15T15","4.4000","-22.0500","270","","C22935"
"R21","0603WAF1501T5E","TopLayer","RESC1608X55X30NL15T15","-19.9000","2.5000","135","","C22843"
"R22","0603WAF1004T5E","TopLayer","RESC1608X55X30NL15T15","26.6500","26.5250","270","","C22935"
"R23","0603WAF100JT5E","TopLayer","RESC1608X55X30NL15T15","31.8750","26.5250","0","","C22859"
"R24","0603WAF1004T5E","TopLayer","RESC1608X55X30NL15T15","26.6500","4.2250","270","","C22935"
"R25","0603WAF100JT5E","TopLayer","RESC1608X55X30NL15T15","31.9250","4.2750","0","","C22859"
