Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC

"CL10A105KB8NNNC","CAP CER 1UF 50V X5R 0603","C1, C2, C3","FP-CL10B105KO8NNNC-IPC_B","CMP-2000-06093-2","3","C15849"
"CL32A107MQVNNWE","Cap Ceramic 100uF 6.3V X5R ±20% SMD 1210 +85°C Embossed T/R","C4, C5, C6, C7","FP-CL32-IPC_A","CMP-13271-000832-1","4","C15008"
"XKB U262-161N-4BVC11","USB Type-C connector, USB-2.0, 16 pins","CN1","XKB U262-161N-4BVC11","XKB U262-161N-4BVC11","1","C319148"
"150080SS75000","LED RED CLEAR 0805 SMD","D1, D2, D3","FP-150080SS75000-MFG","CMP-1426-00010-2","3",""
"SolderJumper","","J1, J2, J3","AislerRule_SolderJumper_1mm","SolderJumper","3",""
"DEBUG","","J4","muselab cmsis-dap frictionfit","MuseLab CMSIS-DAP probe receiving connector","1",""
"POGO pin","Random Aliexpress pogo pin, 1mm diameter, 16mm extended length, 3mm travel","PG1, PG2, PG3, PG4","1x16x3mm (diam, total len, travel) pogo pin - HORIZONTAL","POGO pin","4",""
"POGO pin","Random Aliexpress pogo pin, 1mm diameter, 16mm extended length, 3mm travel","PG5, PG6, PG7, PG8, PG9, PG10, PG11, PG12, PG13, PG14, PG15, PG16, PG17, PG18","1x16x3mm (diam, total len, travel) pogo pin","POGO pin","14",""
"0603WAF560JT5E","","R1, R2, R9","RESC1608X55X30NL15T15","CMP-2000-00540-1","3","C25196"
"0603WAF5101T5E","","R3, R4, R5, R6, R7, R8","RESC1608X55X30NL15T15","CMP-2000-00540-1","6","C23186"
"vertical module board 4 pin","","SBMD1","vertical submodule board female","vertical module board 4 pin","1",""
"vertical module board 4 pin","","SBMD2","vertical submodule pcb male","vertical module board 4 pin","1",""
"SPDT switch","","SW1","ST-0-103-A01-T000-RS+PJ toggle switch","SPDT switch","1","C1788488"
"TS-1187A-B-A-B","XKB TS-1187A-B-A-B C318884","SW2, SW3","ESWI-TL3342F160QG_V","CMP-1696-00003-1","2","C318884"
"CP2104-F03-GMR","IC SGL USB-TO-UART BRIDGE 24QFN","U1","FP-CP2104-F03-GMR-IPC_A","CMP-08107-000004-1","1","C47742"
"LD1117S25TR","Fixed Low Drop Positive Voltage Regulator, 4-Pin SOT-223, Tape and Reel","U2","SOT-223_L","CMP-0244-00306-1","1","C26457"
